ID,max df,standard error,time of max df,standard error,max y,standard error
MS_R4_A12+M0_C20,1.18E+01,9.22E-03,9.53E-02,5.20E-04,3.09E-01,1.49E-04
MS_R4_A12+M0_C21,1.13E+01,1.30E-02,7.49E-02,9.40E-04,3.28E-01,2.38E-04
MS_R4_A12+M0_C22,9.76E+00,1.02E-02,1.42E-01,7.04E-04,3.28E-01,3.26E-04
MS_R4_A12+M0_C23,1.13E+01,7.76E-03,9.21E-02,6.99E-04,3.28E-01,2.02E-04
MS_R4_A12+M0_C24,9.13E+00,7.60E-03,1.77E-01,5.84E-04,2.50E-01,2.81E-04
MS_R4_A12+M0_C25,1.12E+01,9.14E-03,9.65E-02,5.33E-04,3.57E-01,2.55E-04
MS_R4_A12+M0_C26,7.77E+00,6.83E-03,2.58E-01,6.89E-04,2.59E-01,2.09E-04
MS_R4_A12+M0_C27,1.11E+01,7.94E-03,1.25E-01,1.94E-04,3.41E-01,3.08E-04
MS_R4_A12+M0_C28,1.07E+01,6.60E-03,1.10E-01,4.05E-04,3.15E-01,1.45E-04
MG1655_C1,9.90E+00,9.23E-03,1.67E-01,5.55E-18,4.29E-01,2.40E-04
MG1655_C2,1.01E+01,8.41E-03,1.39E-01,2.37E-04,4.28E-01,2.68E-04
MG1655_C3,1.04E+01,1.17E-02,1.65E-01,1.24E-03,4.14E-01,2.06E-04
MG1655_C4,1.13E+01,9.11E-03,1.67E-01,5.55E-18,5.24E-01,2.27E-04
MG1655_C5,1.07E+01,1.00E-02,1.52E-01,3.77E-04,4.67E-01,2.39E-04
MG1655_C6,1.21E+01,8.00E-03,1.81E-01,5.55E-18,5.55E-01,3.65E-04
MG1655_C7,1.32E+01,9.37E-03,1.67E-01,5.55E-18,5.24E-01,3.21E-04
MG1655_C8,1.23E+01,1.05E-02,1.66E-01,2.72E-04,5.33E-01,1.90E-04
MS_R4_A12+M7_C1,9.65E+00,7.93E-03,2.33E-01,5.93E-04,3.85E-01,3.43E-04
MS_R4_A12+M7_C2,9.96E+00,7.63E-03,2.21E-01,3.77E-04,4.11E-01,3.54E-04
MS_R4_A12+M7_C3,9.75E+00,7.67E-03,1.96E-01,4.51E-04,3.83E-01,3.47E-04
MS_R4_A12+M7_C4,9.84E+00,8.71E-03,1.72E-01,6.77E-04,4.09E-01,4.21E-04
MS_R4_A12+M7_C5,9.47E+00,5.60E-03,1.63E-01,6.09E-04,3.59E-01,2.53E-04
MS_R4_A12+M7_C6,9.58E+00,7.40E-03,2.23E-01,2.37E-04,3.87E-01,3.65E-04
MS_R4_A12+M7_C7,9.81E+00,8.02E-03,1.66E-01,1.25E-03,3.98E-01,2.61E-04
MS_R4_A12+M7_C8,9.50E+00,6.48E-03,1.39E-01,1.38E-04,2.51E-01,1.44E-04
MS_R4_A12+M7_C9,9.54E+00,6.17E-03,1.53E-01,0.00E+00,3.27E-01,2.52E-04
MS_R4_A12+M7_C10,9.85E+00,5.58E-03,1.94E-01,5.55E-18,3.31E-01,1.84E-04
MS_R4_A12+M7_C11,1.07E+01,1.16E-02,1.68E-01,4.43E-04,4.71E-01,3.15E-04
MS_R4_A12+M7_C12,9.96E+00,7.08E-03,1.67E-01,1.38E-04,4.12E-01,2.92E-04
MS_R4_A12+M7_C13,1.04E+01,9.73E-03,1.95E-01,3.10E-04,4.13E-01,4.60E-04
MS_R4_A12+M7_C14,1.08E+01,7.83E-03,1.72E-01,6.83E-04,4.47E-01,1.94E-04
MS_R4_A12+M7_C15,1.06E+01,8.06E-03,1.81E-01,5.55E-18,3.52E-01,2.48E-04
MS_R4_A12+M7_C16,9.95E+00,8.98E-03,1.63E-01,6.01E-04,3.19E-01,3.89E-04
MS_R4_A12+M7_C17,1.02E+01,9.75E-03,2.01E-01,6.92E-04,3.23E-01,3.59E-04
MS_R4_A12+M7_C18,1.03E+01,6.82E-03,1.64E-01,5.34E-04,3.53E-01,2.76E-04
MS_R4_A12+M7_C19,1.02E+01,7.63E-03,1.56E-01,5.93E-04,2.64E-01,1.61E-04
MS_R4_A12+M7_C20,1.07E+01,8.72E-03,1.30E-01,6.71E-04,3.46E-01,1.96E-04
MS_R4_A12+M7_C21,9.72E+00,8.98E-03,2.11E-01,5.34E-04,3.77E-01,3.06E-04
MS_R4_A12+M7_C22,1.03E+01,6.53E-03,2.08E-01,2.72E-04,3.94E-01,1.68E-04
MS_R4_A12+M7_C23,9.61E+00,8.57E-03,2.22E-01,2.72E-04,3.86E-01,3.55E-04
MS_R4_A12+M7_C24,9.43E+00,6.20E-03,1.94E-01,1.38E-04,3.38E-01,1.91E-04
MS_R4_A12+M7_C25,9.48E+00,5.13E-03,1.95E-01,3.30E-04,3.38E-01,2.04E-04
MS_R4_A12+M7_C26,9.63E+00,9.04E-03,2.09E-01,3.54E-04,2.95E-01,2.19E-04
MS_R4_A12+M7_C27,9.82E+00,7.52E-03,1.81E-01,5.55E-18,3.13E-01,2.03E-04
MS_R4_A12+M7_C28,9.77E+00,6.31E-03,1.71E-01,6.53E-04,2.65E-01,1.60E-04
MS_R4_A12+M7_C29,8.83E+00,6.99E-03,1.96E-01,4.17E-04,2.31E-01,2.67E-04
MS_R4_A12+M7_C30,8.84E+00,7.85E-03,2.22E-01,1.38E-04,3.14E-01,2.58E-04
MS_R4_A12+M7_C31,1.11E+01,1.05E-02,2.22E-01,1.94E-04,4.83E-01,3.41E-04
MS_R4_A12+M7_C32,1.06E+01,9.51E-03,2.50E-01,0.00E+00,4.44E-01,3.67E-04
MS_R4_A12+M7_C33,1.11E+01,8.16E-03,1.81E-01,5.55E-18,4.60E-01,2.90E-04
MS_R4_A12+M7_C34,1.03E+01,5.64E-03,1.80E-01,1.38E-04,4.39E-01,1.74E-04
MS_R4_A12+M7_C35,1.03E+01,8.73E-03,2.63E-01,2.72E-04,3.65E-01,4.07E-04
MG1655_C1,9.74E+00,1.19E-02,2.24E-01,4.96E-04,3.59E-01,3.25E-04
MG1655_C2,1.25E+01,1.96E-02,2.09E-01,3.54E-04,4.46E-01,5.05E-04
MG1655_C3,1.10E+01,1.48E-02,2.08E-01,5.55E-18,4.57E-01,2.48E-04
MG1655_C4,8.64E+00,6.36E-03,2.34E-01,4.96E-04,3.42E-01,3.85E-04
MG1655_C5,1.02E+01,1.54E-02,2.11E-01,5.34E-04,4.59E-01,3.96E-04
MG1655_C6,9.92E+00,1.19E-02,2.09E-01,2.72E-04,4.17E-01,5.68E-04
MG1655_C7,9.36E+00,1.17E-02,2.28E-01,6.80E-04,3.24E-01,3.98E-04
MG1655_C8,1.08E+01,1.32E-02,2.20E-01,5.09E-04,4.74E-01,5.23E-04
SS_CR1_N1+M7_C1,1.42E+01,2.08E-02,6.00E-02,7.32E-04,3.90E-01,8.27E-05
SS_CR1_N1+M7_C2,1.44E+01,1.05E-02,8.33E-02,2.78E-18,3.61E-01,5.92E-05
SS_CR1_N1+M7_C3,1.42E+01,1.20E-02,8.33E-02,2.78E-18,4.03E-01,1.73E-04
SS_CR1_N1+M7_C4,9.95E+00,1.74E-02,7.54E-02,2.35E-03,3.37E-01,1.04E-04
SS_CR1_N1+M7_C5,1.01E+01,9.05E-03,1.34E-01,6.62E-04,3.54E-01,2.30E-04
SS_CR1_N1+M7_C6,1.37E+01,1.35E-02,8.21E-02,3.97E-04,4.05E-01,2.83E-04
SS_CR1_N1+M7_C7,1.08E+01,3.38E-02,1.08E-01,6.39E-03,3.64E-01,2.62E-04
SS_CR1_N1+M7_C8,1.52E+01,1.32E-02,9.69E-02,1.94E-04,3.96E-01,2.53E-04
